disease,symptoms,severity,risk_score,medications,tests,description,specialty
Hypertension,"chest pain|shortness of breath|headache|dizziness|blurred vision|palpitations",High,72,"Amlodipine 5mg|Lisinopril 10mg|Hydrochlorothiazide 25mg|Losartan 50mg",Renal function panel|Urinalysis|Lipid panel|ECG,"Persistently elevated blood pressure that can damage heart, brain, and kidneys.",Cardiology
"Type 2 Diabetes","fatigue|frequent urination|excessive thirst|blurred vision|slow wound healing|tingling hands",High,68,"Metformin 1000mg|Empagliflozin 10mg|Glipizide 5mg|Insulin Glargine",HbA1c|Fasting glucose|Lipid panel|Renal function|Urine microalbumin,"Chronic metabolic disorder characterized by high blood sugar levels.",Endocrinology
"Type 1 Diabetes","fatigue|frequent urination|excessive thirst|weight loss|blurred vision|nausea",High,70,"Insulin Lispro|Insulin Glargine|Insulin Detemir",HbA1c|Fasting glucose|Ketones|Renal function,"Autoimmune destruction of insulin-producing beta cells in the pancreas.",Endocrinology
Asthma,"shortness of breath|wheezing|chest tightness|cough|night cough",Medium,55,"Albuterol Inhaler|Fluticasone Inhaler|Montelukast 10mg|Prednisone 40mg",Peak flow|Spirometry|Chest X-ray|Methacholine challenge,"Chronic inflammatory airway disease causing reversible bronchoconstriction.",Pulmonology
COPD,"shortness of breath|chronic cough|excessive mucus|wheezing|chest tightness|fatigue",High,75,"Tiotropium Inhaler|Salbutamol|Budesonide|Roflumilast 500mcg",Spirometry|Chest X-ray|ABG|CBC,"Progressive lung disease with chronic airflow obstruction.",Pulmonology
"Coronary Artery Disease","chest pain|shortness of breath|palpitations|fatigue|dizziness|nausea|sweating",High,82,"Aspirin 81mg|Atorvastatin 80mg|Metoprolol 50mg|Clopidogrel 75mg|Nitroglycerin PRN",ECG|Troponin I/T|Chest X-ray|Stress test|Coronary angiography,"Narrowing of coronary arteries reducing blood flow to the heart muscle.",Cardiology
"Heart Failure","shortness of breath|fatigue|swelling legs|rapid heartbeat|cough|weight gain|wheezing",Critical,88,"Furosemide 40mg|Lisinopril 20mg|Carvedilol 12.5mg|Spironolactone 25mg|Digoxin 0.25mg",BNP|Echocardiogram|Chest X-ray|Renal function,"Heart is unable to pump sufficient blood to meet body's needs.",Cardiology
"Atrial Fibrillation","palpitations|chest pain|shortness of breath|fatigue|dizziness|confusion",High,76,"Apixaban 5mg|Warfarin 5mg|Metoprolol 50mg|Diltiazem 120mg|Amiodarone 200mg",ECG|Holter monitor|TSH|Echocardiogram|Electrolytes,"Irregular and often rapid heart rhythm originating in the atria.",Cardiology
Stroke,"sudden numbness|sudden confusion|severe headache|trouble speaking|vision problems|trouble walking|dizziness",Critical,92,"Alteplase (tPA)|Aspirin 81mg|Clopidogrel 75mg|Atorvastatin 80mg",CT head|MRI brain|Carotid Doppler|Coagulation panel,"Interruption of blood supply to the brain causing cell death.",Neurology
TIA,"sudden numbness|trouble speaking|vision problems|severe headache|dizziness|confusion",High,75,"Aspirin 81mg|Clopidogrel 75mg|Atorvastatin 40mg",CT head|MRI brain|Carotid ultrasound|ECG,"Transient episode of neurologic dysfunction due to focal brain ischemia.",Neurology
Pneumonia,"fever|cough|shortness of breath|chest pain|fatigue|nausea|vomiting|chills",High,72,"Amoxicillin 500mg|Azithromycin 500mg|Levofloxacin 750mg|Ceftriaxone 1g",Chest X-ray|Sputum culture|CBC|Blood cultures|Procalcitonin,"Infection that inflames the air sacs in one or both lungs.",Pulmonology
